Constructors,constructor_mean_GMS,puzzle_count_GMS
Dan Harris,-22.0,1
Dan Margolis,-36.0,1
Dan Schoenholz,-6.2,5
Dan Ziring,19.0,1
Dan Ziring and Quiara Vasquez,32.0,1
Dang Quang Thang,-8.0,1
Daniel Bodily,2.33,3
Daniel Bodily and Kevin Curry,-12.0,1
Daniel Grinberg,-13.5,4
Daniel Hrynick,-13.0,1
Daniel Jaret,-9.0,1
Daniel Kantor,-31.0,1
Daniel Kantor and Jay Kaskel,-22.0,1
Daniel Larsen,-12.57,7
Daniel Larsen and Anne Larsen,-13.5,2
Daniel Larsen and The Wave Learning Festival,-2.0,1
Daniel Mauer,4.4,5
Daniel Nierenberg,-22.5,2
Daniel Okulitch,-20.67,3
Daniel Raymon,6.0,4
Danny Lawson,9.0,1
Dave Bardolph,-18.0,1
David A. Rubin and Lee Demertzis,-4.0,1
David Alfred Bywaters,3.33,3
David Bukszpan,18.0,1
David C. Duncan Dekker,-15.0,1
David Distenfeld,-14.29,7
David Harris,-29.0,1
David J. Kahn,8.23,13
David Karp,-26.0,3
David Kwong,0.5,4
David Levinson Wilk,-10.67,3
David Liben-Nowell,-20.5,2
David P. Williams,-4.5,2
David Rockow,-16.0,2
David Steinberg,-6.24,28
David Steinberg and Bruce Haight,-16.0,1
David Steinberg and Claire Muscat,-7.0,1
David Steinberg and Evan Mahnken ,-38.0,1
David Steinberg and Karen Steinberg  and Paul Steinberg,-9.5,2
David Steinberg and Luci Bresette,-13.0,1
David Steinberg and Milo Beckman ,-20.0,1
David Steinberg and Sam Ezersky,-19.0,1
David Steinberg and Trenton Charlson,-17.0,1
David Tuffs,-11.17,6
David Woolf,-9.0,1
Deb Amlen and Natasha Lyonne,-1.0,1
Debbie Ellerin,-25.67,3
Derek Allen,-29.0,1
Derek Bowman and Jeff Slutzky,-14.0,1
Derek J. Angell,-26.5,2
Derrick Niederman,-2.0,2
Desiree Penner and Jeff Sinnock,16.0,1
Dominic Grillo,12.0,1
Dominick Talvacchio,11.0,1
Dory Mintz,4.0,2
Doug Peterson,16.0,2
Doug Peterson and Angela Olson Halsted,2.0,1
Doug Peterson and Christina Iverson,13.0,1
Doug Peterson and Daniel Okulitch,8.0,1
Doug Peterson and Gary Larson,-11.0,1
Doug Peterson and Neville Fogarty ,-17.0,1
Doug Peterson and Patti Varol,-1.0,1
Drew Schmenner,-3.2,5
Dylan Schiff,-4.67,3
Ed Sessa,-13.5,8
